"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.13","8.8.8.8","DNS","78","Standard query 0x64dc A auth.grammarly.com"
"2","0.013627","8.8.8.8","192.168.1.13","DNS","126","Standard query response 0x64dc A auth.grammarly.com A 3.220.106.10 A 54.85.19.174 A 54.204.100.51"
"3","0.021679","192.168.1.13","3.220.106.10","TCP","66","63179  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.164741","192.168.1.1","224.0.0.1","IGMPv2","46","Membership Query, specific for group 224.0.0.251"
"5","0.165187","192.168.1.1","224.0.0.1","IGMPv2","46","Membership Query, specific for group 224.0.0.252"
"6","0.279517","3.220.106.10","192.168.1.13","TCP","66","443  >  63179 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256"
"7","0.279592","192.168.1.13","3.220.106.10","TCP","54","63179  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"8","0.280022","192.168.1.13","3.220.106.10","TLSv1.2","228","Client Hello (SNI=auth.grammarly.com)"
"9","0.284076","192.168.1.13","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"10","0.284144","192.168.1.13","224.0.0.252","IGMPv2","46","Membership Report group 224.0.0.252"
"11","0.539031","3.220.106.10","192.168.1.13","TCP","60","443  >  63179 [ACK] Seq=1 Ack=175 Win=28160 Len=0"
"12","0.539504","3.220.106.10","192.168.1.13","TLSv1.2","1506","Server Hello"
"13","0.543531","3.220.106.10","192.168.1.13","TCP","1506","443  >  63179 [ACK] Seq=1453 Ack=175 Win=28160 Len=1452 [TCP PDU reassembled in 16]"
"14","0.543570","192.168.1.13","3.220.106.10","TCP","54","63179  >  443 [ACK] Seq=175 Ack=2905 Win=66560 Len=0"
"15","0.543951","3.220.106.10","192.168.1.13","TCP","1506","443  >  63179 [ACK] Seq=2905 Ack=175 Win=28160 Len=1452 [TCP PDU reassembled in 16]"
"16","0.557116","3.220.106.10","192.168.1.13","TLSv1.2","1107","Certificate, Server Key Exchange, Server Hello Done"
"17","0.557170","192.168.1.13","3.220.106.10","TCP","54","63179  >  443 [ACK] Seq=175 Ack=5410 Win=66560 Len=0"
"18","0.561644","192.168.1.13","3.220.106.10","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"19","0.676563","192.168.1.13","20.198.119.143","TLSv1.2","154","Application Data"
"20","0.706599","20.198.119.143","192.168.1.13","TLSv1.2","224","Application Data"
"21","0.753164","192.168.1.13","20.198.119.143","TCP","54","62605  >  443 [ACK] Seq=101 Ack=171 Win=256 Len=0"
"22","0.785108","192.168.1.13","203.17.244.59","TCP","55","62587  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1"
"23","0.799883","203.17.244.59","192.168.1.13","TCP","60","443  >  62587 [ACK] Seq=0 Ack=2 Win=11 Len=0"
"24","0.799912","192.168.1.13","203.17.244.59","TCP","54","[TCP Dup ACK 22#1] [TCP ACKed unseen segment] 62587  >  443 [ACK] Seq=2 Ack=1 Win=259 Len=0"
"25","0.819565","3.220.106.10","192.168.1.13","TCP","60","443  >  63179 [ACK] Seq=5410 Ack=301 Win=28160 Len=0"
"26","0.819565","3.220.106.10","192.168.1.13","TLSv1.2","225","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"27","0.822554","192.168.1.13","3.220.106.10","TLSv1.2","768","Application Data"
"28","0.960292","203.17.244.59","192.168.1.13","TCP","66","[TCP Previous segment not captured] 443  >  62587 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"29","1.105197","3.220.106.10","192.168.1.13","TCP","1506","443  >  63179 [ACK] Seq=5581 Ack=1015 Win=46080 Len=1452 [TCP PDU reassembled in 30]"
"30","1.105290","3.220.106.10","192.168.1.13","TLSv1.2","513","Application Data"
"31","1.105304","192.168.1.13","3.220.106.10","TCP","54","63179  >  443 [ACK] Seq=1015 Ack=7492 Win=66560 Len=0"
"32","1.164992","192.168.1.13","8.8.8.8","DNS","78","Standard query 0xaa80 A gnar.grammarly.com"
"33","1.181503","8.8.8.8","192.168.1.13","DNS","206","Standard query response 0xaa80 A gnar.grammarly.com A 107.22.1.125 A 3.88.122.66 A 3.211.112.147 A 44.218.222.248 A 52.203.116.55 A 34.231.202.179 A 44.218.222.180 A 3.224.62.225"
"34","1.182303","192.168.1.13","107.22.1.125","TCP","66","63180  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"35","1.214213","192.168.1.13","3.220.106.10","TCP","66","63181  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"36","1.254654","192.168.1.1","224.0.0.1","IGMPv2","46","Membership Query, specific for group 224.0.0.251"
"37","1.273698","192.168.1.13","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"38","1.419778","107.22.1.125","192.168.1.13","TCP","66","443  >  63180 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256"
"39","1.419836","192.168.1.13","107.22.1.125","TCP","54","63180  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"40","1.420111","192.168.1.13","107.22.1.125","TLSv1.2","365","Client Hello (SNI=gnar.grammarly.com)"
"41","1.463632","3.220.106.10","192.168.1.13","TCP","66","443  >  63181 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1452 SACK_PERM WS=256"
"42","1.463689","192.168.1.13","3.220.106.10","TCP","54","63181  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"43","1.463946","192.168.1.13","3.220.106.10","TLSv1.2","365","Client Hello (SNI=auth.grammarly.com)"
"44","1.680087","107.22.1.125","192.168.1.13","TCP","60","443  >  63180 [ACK] Seq=1 Ack=312 Win=28160 Len=0"
"45","1.680392","107.22.1.125","192.168.1.13","TLSv1.2","1506","Server Hello"
"46","1.680721","107.22.1.125","192.168.1.13","TCP","1506","443  >  63180 [ACK] Seq=1453 Ack=312 Win=28160 Len=1452 [TCP PDU reassembled in 49]"
"47","1.680734","192.168.1.13","107.22.1.125","TCP","54","63180  >  443 [ACK] Seq=312 Ack=2905 Win=66560 Len=0"
